"","ukr","en","NOTES – use \n for newline","max length"
"progress_ending01","Досліджено секрети унизу та зверху - ","Discovered the secrets above and below - ","",""
"status_wet","Мокрість","Wet","",""
"statusdesc_wet","Мокрий одяг захищає вас від вогню.","Wet clothes protect you from fire.","",""
"status_oiled","У нафті","Oiled ","",""
"statusdesc_oiled","Через нафту ви тепер слизькі та легкозаймисті.","Oil makes you slippery and more flammable.","",""
"status_bloody","Закривавлений ","Bloody ","",""
"statusdesc_bloody","Закривавлений одяг захищає вас від вогню.\nВи відчуваєте підвищений шанс критичних ударів.","Bloody clothes protect you from fire.\nYou sense an increased chance of attaining critical hits.","",""
"status_slimy","В слизу","Slimy","",""
"statusdesc_slimy","Одяг в слизу захищає вас від вогню.\nСлиз ускладнює пересування.","Slimy clothes protect you from fire.\nThe mucus makes moving around difficult.","",""
"status_radioactive","В токсинах","Toxic","",""
"statusdesc_radioactive","Токсини на одягу повільно понижують ваше здоров'я.\nМокрий одяг захищає вас від вогню.\nМожна змити рідинами.","Toxic sludge in your clothes makes your health degrade slowly.\nWet clothes protect you from fire.\nCan be washed off by liquids.","",""
"status_alcoholic","Сп’яніння","Alcoholic","",""
"statusdesc_alcoholic","Ваш одяг просякнутий важким запахом випивки.\nПрицілювання вже не таке легке.\nА ще алкоголь легкозаймистий!","Heavy scent of booze oozes of your clothes.\nAiming is disturbed.\nAnd alcohol is flammable!","",""
"status_poisoned","Отруєння","Poisoned","",""
"statusdesc_poisoned","Отруєння поступово погіршує ваше здоров’я. ","A poisoning slowly degrades your health. ","",""
"status_teleportation","Телепортозис","Teleportation","",""
"statusdesc_teleportation","Ви неконтрольовано телепортуєтеся час від часу.","A teleport curse affects you.","",""
"status_hp_regeneration","Регенерація ","Regeneration ","",""
"statusdesc_hp_regeneration","Закляття регенерації здоров'я впливає на вас.","A health regeneration spell affects you.","",""
"status_polymorph","Поліморф","Polymorph","",""
"statusdesc_polymorph","Ти вівця.","You're a sheep.","",""
"status_polymorph_random","Хаотичний поліморф","Chaos polymorph","",""
"statusdesc_polymorph_random","Прокляття поліморфа впливає на вас.","A polymorph curse affects you.","",""
"status_berserk","Лють","Berserk","",""
"statusdesc_berserk","Прокляття люті впливає на вас.","A berserk curse affects you.","",""
"status_charm","Причарування","Charmed","",""
"statusdesc_charm","Причарування впливає на вас.","A charm affects you.","",""
"status_invisibility","Невидимість","Invisible","",""
"statusdesc_invisibility","Магічна рідина на твоєму одязі дає вам невидимість.\nЗаклинання порушується забрудненням або намоканням одягу.","The magical liquid on your clothes makes you invisible.\nThe spell is disturbed by stained or wet clothes.","",""
"status_on_fire","У вогні ","On fire ","",""
"statusdesc_on_fire","Ви горите. Скоріш знайдіть воду!","You're on fire. Find some water!","",""
"boss_limbs_limb_attacker","Ноги павука","Spider leg","",""
"biome_boss_arena","Лабораторії","The Laboratory","",""
"biome_boss_victoryroom","Твору","The Work","",""
"biome_coalmine","копалень","mines","",""
"biome_coalmine_alt","обвалених копалень","collapsed mines","",""
"biome_crypt","Храму Мистецтва","Temple of the Art","",""
"biome_desert","пустелі","Desert","",""
"biome_dragoncave","печери дракона","Dragoncave","",""
"biome_ending_placeholder","Гробниці Майстра Знаків","Master Symbol Crypt","",""
"biome_excavationsite","вугільних копалень","Coal Pits","",""
"biome_fungicave","Грибних печер","Fungal Caverns","",""
"biome_gold","Золото","Gold","",""
"biome_lake","Озера","Lake","",""
"biome_lava","Вулканічного озера","Volcanic Lake","",""
"biome_lavacave","Вулканічної печери","Volcanic Cave","",""
"biome_magic_gate","Святилища","Sanctuary","",""
"biome_null","Невідомості","unknown","",""
"biome_pyramid","Піраміди","Pyramid","",""
"biome_rainforest","Підземних джунглів","Underground Jungle","",""
"biome_sandcave","Піщаної печери","Sandcave","",""
"biome_secret_entrance","Таємничих воріт","Mysterious Gate","",""
"biome_shop_room","Секретного магазину","Secret Shop","",""
"biome_snowcastle","Бази Hiisi","Hiisi Base","",""
"biome_snowcave","Засніжених глибин","Snowy Depths","",""
"biome_town_under","звивистих проходів","twisty passages","",""
"biome_vault","Сховища","The Vault","",""
"biome_wandcave","Магічного храму","magical temple","",""
"biome_water","Води","water","",""
"biome_winter","Засніженої пустки","snowy wasteland","",""
"biome_holymountain","Святої гори","Holy Mountain","This is a reference to the Jodorowsky film 'Holy Mountain'",""
"biome_east","Східного $0","East $0","",""
"biome_west","Західного $0","West $0","",""
"animal_player","Minä","Minä","doesn't need to be translated",""
"animal_boss_centipede_minion","Kolmisilmän apuri","Kolmisilmän apuri","doesn't need to be translated",""
"animal_boss_limbs","Kolmisilmän koipi","Kolmisilmän koipi","doesn't need to be translated",""
"animal_boss_dragon_endcrystal","Mato","Mato","doesn't need to be translated",""
"animal_lukki","Hämähäkki","Hämähäkki","doesn't need to be translated",""
"animal_lukki_creepy","Kasvoton Hämähäkki","Kasvoton Hämähäkki","doesn't need to be translated",""
"animal_lukki_creepy_long","Kasvoton Lukki","Kasvoton Lukki","doesn't need to be translated",""
"animal_lukki_longleg","Lukki","Lukki","doesn't need to be translated",""
"animal_acidshooter","Happonuljaska","Happonuljaska","doesn't need to be translated",""
