,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length,,,,,,,,,,
menuupdatenotification_description_generic,A new build of Noita is now available!\nClick here for release notes,"Вышла новая сборка игры Noita!\nЧтобы прочитать заметки о выпуске, нажмите здесь",Uma nova versão de Noita está disponível!\nClique aqui para ver as notas da versão,¡Hay una nueva actualización para Noita!\nHaz clic aquí para ver las notas del parche,Eine neue Version von Noita ist jetzt verfügbar!\nHier klicken für die Versionsinformationen,Une nouvelle version de Noita est désormais disponible !\nCliquez ici pour voir les notes de version,È disponibile una nuova build di Noita!\nClicca qui per visualizzare le note di rilascio.,"Dostępna jest nowa wersja Noita!\nKliknij tutaj, aby uzyskać informacje o tej wersji",新版本《Noita》现已上线！\n单击此处查看发布说明,Noitaの新しいビルドが利用可能です！\nここをクリックしてリリースノートをご確認ください。,새로운 Noita 빌드가 있습니다!\n여기를 클릭하여 릴리즈 노트를 확인하세요.,,,,,,,,,,,,,
menureleasenotes_notavailable,No release notes available,Заметок о выпуске нет,Nenhuma nota de versão disponível,No hay notas del parche disponibles,Keine Versionsinformationen,Aucune note de version disponible,Nessuna nota di rilascio disponibile,Brak informacji o wersji,没有可用的发行说明,リリースノートがありません,릴리즈 노트 없음,,,,,,,,,,,,,
menureleasenotes_eawarning,Welcome to Noita!\nNoita is an early access game.\nIt contains bugs and may even sometimes crash!\nWe're working hard to fix things and add new features.,"Добро пожаловать в Noita!\nЭта игра находится на стадии раннего доступа.\nВ ней есть ошибки, и она может иногда давать сбои!\nМы стараемся исправлять ошибки и добавлять новые функции.",Boas-vindas a Noita!\nNoita é um jogo em acesso antecipado.\nEle contém erros e pode fechar sozinho às vezes!\nEstamos trabalhando duro para corrigir tudo e adicionar novos recursos.,¡Te damos la bienvenida a Noita!\nNoita es un juego de acceso anticipado.\n¡Tiene algún error y puede llegar a fallar!\nTrabajamos duro para solucionar los fallos y añadir nuevas características.,"Willkommen zu Noita!\nNoita ist ein „Early Access“-Spiel.\nEs enthält Fehler und könnte sogar abstürzen!\nWir arbeiten hart daran, die Fehler zu beheben und neue Funktionen hinzuzufügen.",Bienvenue dans Noita !\nNoita est un jeu en accès anticipé.\nIl contient des bugs et peut même parfois planter !\nNous mettons tout en œuvre pour corriger ces problèmes et ajouter de nouvelles fonctionnalités.,Ti diamo il benvenuto in Noita!\nNoita è un gioco in accesso anticipato.\nContiene bug e a volte potrebbe arrestarsi in maniera anomala!\nCi stiamo impegnando a fondo per correggere questi problemi e aggiungere nuove funzionalità.,"Witamy w Noita!\nNoita to gra we wczesnym dostępie.\nZawiera błędy i czasami może nawet się zawiesić!\nNieustannie pracujemy, aby naprawić błędy i dodać nowe funkcje.",欢迎来到《Noita》！\n《Noita》目前处于抢先体验阶段。\n游戏可能包含错误，甚至会崩溃！\n我们正努力对这些问题进行修复，同时为游戏追加新的内容。,Noitaへようこそ！\nNoitaは早期アクセスのゲームです。\nこのゲームにはバグが含まれており、時にはクラッシュしてしまう可能性もあります！\n私たちは全力でこの問題の修正に取り組んでおり、新しい機能の追加に向けて取り組んでいます。,Noita에 오신 것을 환영합니다!\nNoita는 얼리 액세스 게임입니다.\n버그가 있을 수 있고 가끔 충돌도 발생할 수 있습니다!\n문제를 해결하고 새 기능을 추가하고자 열심히 노력하고 있습니다.,,PLACEHOLDER,,,,,,,,,,,
controls_up,up,вверх,cima,Arriba,Hoch,haut,su,w górę,向上,上,위,,,,,,,,,,,,,
controls_down,down,вниз,baixo,Abajo,Runter,bas,giù,w dół,向下,下,아래,,,,,,,,,,,,,
controls_left,left,влево,esquerda,Izquierda,Links,gauche,sinistra,w lewo,向左,左,왼쪽,,,,,,,,,,,,,
controls_right,right,вправо,direita,Derecha,Rechts,droite,destra,w prawo,向右,右,오른쪽,,,,,,,,,,,,,
controls_sprayflask,spray from potion,распылить из бутыли,borrifar poção,rociar con poción,Aus Trank sprühen,pulvériser avec le flacon,spruzza pozione,spryskanie miksturą,从魔药喷射,ポーションから放射する,포션으로 뿌리기,,,,,,,,,,,,,
controls_throw,throw,бросить,arremessar,Lanzar,Werfen,lancer,lancia,rzucenie,投掷,投げる,던지기,,,,,,,,,,,,,
controls_kick,kick,ударить,chutar,Patada,Schlag,coup de pied,calcia,kopnięcie,踢击,蹴る,발차기,,,,,,,,,,,,,
controls_inventory,open/close inventory,открыть (закрыть) инвентарь,abrir/fechar inventário,Abrir/cerrar inventario,Inventar öffnen/schließen,ouvrir/fermer l'inventaire,apri/chiudi inventario,otwarcie/zamknięcie ekwipunku,开启/关闭物品栏,所持品を開く/閉じる,인벤토리 열기/닫기,,,,,,,,,,,,,
controls_itemnext,next item,следующий предмет,item seguinte,Siguiente objeto,Nächster Gegenstand,objet suivant,oggetto seguente,następny przedmiot,下个物品,次のアイテム,다음 아이템,,,,,,,,,,,,,
controls_itemprev,previous item,предыдущий предмет,item anterior,Anterior objeto,Vorheriger Gegenstand,objet précédent,oggetto precedente,poprzedni przedmiot,上个物品,前のアイテム,이전 아이템,,,,,,,,,,,,,
controls_itemslot1,select item in slot 1,выбрать предмет в ячейке 1,selecionar item no espaço 1,Seleccionar objeto en ranura 1,Gegenstand in Slot 1 wählen,sélectionner l'objet dans l'emplacement 1,seleziona oggetto nello slot 1,wybór przedmiotu na polu 1,选择 1 号槽物品,スロット1のアイテムを選択する,슬롯 1 아이템 선택,,,,,,,,,,,,,
controls_itemslot2,select item in slot 2,выбрать предмет в ячейке 2,selecionar item no espaço 2,Seleccionar objeto en ranura 2,Gegenstand in Slot 2 wählen,sélectionner l'objet dans l'emplacement 2,seleziona oggetto nello slot 2,wybór przedmiotu na polu 2,选择 2 号槽物品,スロット2のアイテムを選択する,슬롯 2 아이템 선택,,,,,,,,,,,,,
controls_itemslot3,select item in slot 3,выбрать предмет в ячейке 3,selecionar item no espaço 3,Seleccionar objeto en ranura 3,Gegenstand in Slot 3 wählen,sélectionner l'objet dans l'emplacement 3,seleziona oggetto nello slot 3,wybór przedmiotu na polu 3,选择 3 号槽物品,スロット3のアイテムを選択する,슬롯 3 아이템 선택,,,,,,,,,,,,,
controls_itemslot4,select item in slot 4,выбрать предмет в ячейке 4,selecionar item no espaço 4,Seleccionar objeto en ranura 4,Gegenstand in Slot 4 wählen,sélectionner l'objet dans l'emplacement 4,seleziona oggetto nello slot 4,wybór przedmiotu na polu 4,选择 4 号槽物品,スロット4のアイテムを選択する,슬롯 4 아이템 선택,,,,,,,,,,,,,
controls_itemslot5,select item in slot 5,выбрать предмет в ячейке 5,selecionar item no espaço 5,Seleccionar objeto en ranura 5,Gegenstand in Slot 5 wählen,sélectionner l'objet dans l'emplacement 5,seleziona oggetto nello slot 5,wybór przedmiotu na polu 5,选择 5 号槽物品,スロット5のアイテムを選択する,슬롯 5 아이템 선택,,,,,,,,,,,,,
controls_itemslot6,select item in slot 6,выбрать предмет в ячейке 6,selecionar item no espaço 6,Seleccionar objeto en ranura 6,Gegenstand in Slot 6 wählen,sélectionner l'objet dans l'emplacement 6,seleziona oggetto nello slot 6,wybór przedmiotu na polu 6,选择 6 号槽物品,スロット6のアイテムを選択する,슬롯 6 아이템 선택,,,,,,,,,,,,,
controls_itemslot7,select item in slot 7,выбрать предмет в ячейке 7,selecionar item no espaço 7,Seleccionar objeto en ranura 7,Gegenstand in Slot 7 wählen,sélectionner l'objet dans l'emplacement 7,seleziona oggetto nello slot 7,wybór przedmiotu na polu 7,选择 7 号槽物品,スロット7のアイテムを選択する,슬롯 7 아이템 선택,,,,,,,,,,,,,
controls_itemslot8,select item in slot 8,выбрать предмет в ячейке 8,selecionar item no espaço 8,Seleccionar objeto en ranura 8,Gegenstand in Slot 8 wählen,sélectionner l'objet dans l'emplacement 8,seleziona oggetto nello slot 8,wybór przedmiotu na polu 8,选择 8 号槽物品,スロット8のアイテムを選択する,슬롯 8 아이템 선택,,,,,,,,,,,,,
controls_itemslot9,select item in slot 9,выбрать предмет в ячейке 9,selecionar item no espaço 9,Seleccionar objeto en ranura 9,Gegenstand in Slot 9 wählen,sélectionner l'objet dans l'emplacement 9,seleziona oggetto nello slot 9,wybór przedmiotu na polu 9,选择 9 号槽物品,スロット9のアイテムを選択する,슬롯 9 아이템 선택,,,,,,,,,,,,,
controls_itemslot10,select item in slot 10,выбрать предмет в ячейке 10,selecionar item no espaço 10,Seleccionar objeto en ranura 10,Gegenstand in Slot 10 wählen,sélectionner l'objet dans l'emplacement 10,seleziona oggetto nello slot 10,wybór przedmiotu na polu 10,选择 10 号槽物品,スロット10のアイテムを選択する,슬롯 10 아이템 선택,,,,,,,,,,,,,
controls_escape,pause/close,приостановить (закрыть),pausar/fechar,Pausa/cerrar,Pause/schließen,mettre en pause/fermer,pausa/chiudi,pauza/zamknięcie,暂停/关闭,一旦停止/閉じる,일시 정지/닫기,,,,,,,,,,,,,
hud_air_unit,o2,o2,o2,O2,o2,o2,o2,O2,氧气,o2,산소,,,,,,,,,,,,,
hud_air,Air: $0 / $1,Воздух: $0 / $1,Ar: $0 / $1,Aire: $0 / $1,Luft: $0 / $1,Air : $0/$1,Aria: $0 / $1,Powietrze: $0/$1,空气：$0 / $1,空気： $0 / $1,공기: $0 / $1,,,,,,,,,,,,,
hud_health,Health: $0 / $1,Здоровье: $0 / $1,Vida: $0 / $1,Salud: $0 / $1,Gesundheit: $0 / $1,PV : $0/$1,Salute: $0 / $1,Zdrowie: $0/$1,生命值：$0 / $1,ヘルス： $0 / $1,체력: $0 / $1,,,,,,,,,,,,,
hud_jetpack,Levitation energy: $0 / $1,Энергия левитации: $0 / $1,Energia de levitação: $0 / $1,Energía levitatoria: $0 / $1,Schwebeenergie: $0 / $1,Énergie de lévitation : $0/$1,Energia levitazione: $0 / $1,Energia lewitacji: $0/$1,浮空能量：$0 / $1,空中浮遊エネルギー： $0 / $1,비행 에너지: $0 / $1,,,,,,,,,,,,,
hud_wand_mana,Wand mana: $0 / $1,Мана жезла: $0 / $1,Mana da varinha: $0 / $1,Maná de varita: $0 / $1,Zauberstab-Mana: $0 / $1,Mana de la baguette : $0/$1,Mana bacchetta: $0 / $1,Mana różdżki: $0/$1,魔杖法力：$0 / $1,杖のマナ： $0 / $1,완드 마나: $0 / $1,,,,,,,,,,,,,
hud_wand_reload,Wand recharge: $0 s,Перезарядка жезла: $0 с,Recarga de varinha: $0 s,Recarga de varita: $0 s,Zauberstabladung: $0 s,Temps de recharge de la baguette : $0 s,Ricarica bacchetta: $0 s,Ładowanie różdżki: $0 s,魔杖充能：$0 秒,杖のリチャージ： $0 秒,완드 충전: $0초,,,,,,,,,,,,,
hud_gold,Gold: $0,Золото: $0,Ouro: $0,Oro: $0,Gold: $0,Or : $0,Oro: $0,Złoto: $0,黄金：$0,ゴールド： $0,골드: $0,,,,,,,,,,,,,
hud_orbs,Orbs collected: $0,Собрано шаров: $0,Orbes obtidos: $0,Orbes recogidos: $0,Gesammelte Kugeln: $0,Orbes récupérés : $0,Orbi raccolti: $0,Zebrane kule: $0,获得魔球：$0,回収したオーブ： $0,수집한 오브: $0,,,,,,,,,,,,,
hud_title_wands,WANDS,ЖЕЗЛЫ,VARINHAS,VARITAS,ZAUBERSTÄBE,BAGUETTES,BACCHETTE,RÓŻDŻKI,魔杖,杖,완드,,,,,,,,,,,,,
hud_title_throwables,ITEMS,ПРЕДМЕТЫ,ITENS,OBJETOS,GEGENSTÄNDE,OBJETS,OGGETTI,PRZEDMIOTY,物品,アイテム,아이템,,,,,,,,,,,,,
hud_title_actionstorage,SPELLS,ЗАКЛИНАНИЯ,FEITIÇOS,HECHIZOS,ZAUBER,SORTS,INCANTESIMI,ZAKLĘCIA,法术,呪文,주문,,,,,,,,,,,,,
menu_newwand_title,NEW WAND,НОВЫЙ ЖЕЗЛ,NOVA VARINHA,NUEVA VARITA,NEUER ZAUBERSTAB,NOUVELLE BAGUETTE,NUOVA BACCHETTA,NOWA RÓŻDŻKA,新魔杖,新しい杖,새 완드,,,,,,,,,,,,,
menu_newwand_pressagain_pick,Press $0 again to pick the wand,"Чтобы взять жезл, нажмите $0 еще раз",Aperte $0 de novo para pegar a varinha,Pulsa $0 de nuevo para recoger la varita,"Drücke erneut $0, um den Zauberstab aufzuheben",Appuyez à nouveau sur $0 pour ramasser la baguette,Premi $0 di nuovo per raccogliere la bacchetta,"Naciśnij ponownie $0, aby podnieść różdżkę",再按一次 $0 拾起魔杖,$0 をもう一度押して杖を拾う,$0(을)를 다시 눌러 완드 집기,,,,,,,,,,,,,
menu_newwand_pressagain_cancel,Press $0 to cancel,Отмена — $0,Aperte $0 para cancelar,Pulsa $0 para cancelar,Drücke $0 zum Abbrechen,Appuyez sur $0 pour annuler,Premi $0 per annullare,"Naciśnij $0, aby anulować",按 $0 取消,$0 を押してキャンセル,$0(을)를 눌러 취소,,,,,,,,,,,,,
menu_newwand_whichwand_gamepad,WHICH WAND DO YOU WANT TO DROP?,КАКОЙ ЖЕЗЛ ВЫБРОСИТЬ?,QUAL VARINHA DESEJA LARGAR?,¿QUÉ VARITA QUIERES SOLTAR?,WELCHEN ZAUBERSTAB MÖCHTEST DU FALLENLASSEN?,QUELLE BAGUETTE VOULEZ-VOUS LÂCHER ?,QUALE BACCHETTA VUOI LASCIARE?,KTÓRĄ RÓŻDŻKĘ CHCESZ UPUŚCIĆ?,希望丢弃哪支魔杖？,どの杖を落としますか？,어느 완드를 버릴까요?,,,,,,,,,,,,,
menu_newwand_whichwand_keyboard,WHICH WAND DO YOU WANT TO DROP? (Click it!),КАКОЙ ЖЕЗЛ ВЫБРОСИТЬ? (нажмите на него!),QUAL VARINHA DESEJA LARGAR? (Clique nela!),¿QUÉ VARITA QUIERES SOLTAR? (Haz clic en ella),WELCHEN ZAUBERSTAB MÖCHTEST DU FALLENLASSEN? (Klicke ihn an!),QUELLE BAGUETTE VOULEZ-VOUS LÂCHER ? (Cliquez dessus !),QUALE BACCHETTA VUOI LASCIARE? (cliccaci su!),KTÓRĄ RÓŻDŻKĘ CHCESZ UPUŚCIĆ? (Kliknij ją!),希望丢弃哪支魔杖？（请点击！）,どの杖を落としますか？(クリックしてください！),어느 완드를 버릴까요? (클릭하세요!),,,,,,,,,,,,,
menu_newwand_emptyslot,$0 - empty slot,$0 — пустая ячейка,$0 - espaço vazio,$0 - ranura vacía,$0 - leerer Slot,$0 - emplacement vide,$0 - slot vuoto,$0 – puste pole,$0 - 空槽,$0 - 空のスロット,$0 - 빈 슬롯,,,,,,,,,,,,,
menu_newbook_pressagain_pick,Press $0 again to pick the book,"Чтобы взять книгу, нажмите $0 еще раз",Aperte $0 de novo para pegar o livro,Pulsa $0 de nuevo para recoger el libro,"Drücke erneut $0, um das Buch aufzuheben",Appuyez sur $0 pour ramasser le livre,Premi $0 di nuovo per raccogliere il libro,"Naciśnij ponownie $0, aby podnieść księgę",再按一次 $0 拾起魔法书,$0 をもう一度押して本を拾う,$0을(를) 다시 눌러 책 집기,,,,,,,,,,,,,
menu_newbook_pressagain_close,Press $0 to close,Закрыть — $0,Aperte $0 para fechar,Pulsa $0 para cerrar,Drücke $0 zum Schließen,Appuyez sur $0 pour fermer,Premi $0 per chiudere,"Naciśnij $0, aby zamknąć",按 $0 关闭,$0 を押して閉じる,$0을(를) 눌러 닫기,,,,,,,,,,,,,
